id,email_body,expected_result
1,"Please provide a quote for 100 stainless steel bolts (M8 size). Delivery needed by August 15th. - Alex",yes
2,"Your invoice #INV-5678 is now overdue. Kindly process payment today. - Finance Team",no
3,"Can you send pricing for 50 office desks with cable management? Thanks, Sarah",yes
4,"Team lunch tomorrow at 1 PM in the cafeteria. Please RSVP. - HR",no
5,"Need best price for 200 LED floodlights (IP65 rating). Deadline: EOD Friday. - James",yes
6,"Your software license expires in 7 days. Renew here: [link]. - Support",no
7,"Requesting formal quotation for 10 industrial air compressors. - Procurement",yes
8,"Meeting rescheduled to Wednesday at 3 PM. Agenda attached. - Mark",no
9,"Quote required: 500 meters of 4mm electrical wiring. Terms? - Rachel",yes
10,"Password reset requested for your account. Confirm here: [link]. - IT",no
11,"Please advise pricing for 20 conference room projectors. - Linda",yes
12,"Happy birthday! Enjoy your day off. - Management",no
13,"Urgent: Need quote for 5,000 custom branded pens. Artwork attached. - Tom",yes
14,"Your package has been delivered. Tracking: DHL87654321. - Logistics",no
15,"RFQ: 100 safety helmets with visors. Specifications attached. - David",yes
16,"Company picnic this Saturday! Sign up by Thursday. - Events Team",no
17,"Could you quote 50 ergonomic chairs with lumbar support? - Grace",yes
18,"Server maintenance tonight from 10 PM to 2 AM. - Tech Dept",no
19,"Request for bulk pricing on A4 printer paper (5,000 reams). - Sam",yes
20,"Your vacation request for July 20-25 has been approved. - HR",no
21,"Need pricing ASAP for 200 high-pressure water pumps. - Engineering",yes
22,"New employee handbook attached. Review by Friday. - Admin",no
23,"Formal quotation request: 10,000 plastic food containers. - Emma",yes
24,"Fire drill scheduled for tomorrow at 11 AM. - Facilities",no
25,"Please send quote for 50 commercial-grade microwaves. - Ben",yes
26,"Your parking permit renewal is due next week. - Security",no
27,"Price check: 100 anti-static wrist straps. MOQ? - Procurement",yes
28,"CEO all-hands meeting today at 4 PM. Mandatory attendance. - Comms",no
29,"Need quotation for 200kg of ABS plastic pellets. - Manufacturing",yes
30,"Office closed on Monday for public holiday. - Management",no
